frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
66, 0, 2.167, 0.98, 1, 6.6, -53.0, 502.0, -0.053, 0.038, -0.021
67, 0, 2.200, 0.98, 1, 7.5, -51.6, 496.0, -0.029, 0.038, -0.021
68, 0, 2.233, 0.98, 1, 8.4, -50.5, 493.8, -0.009, 0.044, -0.031
69, 0, 2.267, 0.98, 1, 9.0, -48.5, 490.4, 0.038, 0.045, -0.035
70, 0, 2.300, 0.98, 1, 10.2, -45.4, 489.3, 0.075, 0.039, -0.042
71, 0, 2.333, 0.88, 1, 10.5, -43.6, 485.8, 0.099, 0.041, -0.034
72, 0, 2.367, 0.88, 1, 10.6, -42.9, 484.6, 0.089, 0.032, -0.036
73, 0, 2.400, 0.93, 1, 10.7, -42.6, 484.6, 0.079, 0.025, -0.035
74, 0, 2.433, 0.98, 1, 10.8, -42.0, 485.2, 0.108, 0.022, -0.036
75, 0, 2.467, 0.98, 1, 10.2, -41.9, 485.4, 0.107, 0.035, -0.027
76, 0, 2.500, 0.98, 1, 10.0, -41.5, 485.1, 0.095, 0.036, -0.023
77, 0, 2.533, 0.98, 1, 9.9, -41.4, 485.6, 0.080, 0.035, -0.020
78, 0, 2.567, 0.98, 1, 9.6, -41.0, 486.1, 0.060, 0.030, -0.011
79, 0, 2.600, 0.98, 1, 9.5, -40.6, 484.6, 0.043, 0.023, -0.002
80, 0, 2.633, 0.98, 1, 9.5, -40.2, 484.6, 0.020, 0.023, 0.005
81, 0, 2.667, 0.98, 1, 9.0, -39.5, 483.6, 0.017, 0.028, 0.012
82, 0, 2.700, 0.98, 1, 9.0, -39.4, 481.9, 0.023, 0.026, 0.014
83, 0, 2.733, 0.98, 1, 8.9, -39.2, 482.5, 0.020, 0.026, 0.010
84, 0, 2.767, 0.98, 1, 9.2, -38.9, 483.5, 0.036, 0.022, 0.012
85, 0, 2.800, 0.98, 1, 9.6, -38.3, 479.1, 0.034, 0.022, 0.005
86, 0, 2.833, 0.98, 1, 10.8, -37.7, 476.7, 0.034, 0.008, 0.000
87, 0, 2.867, 0.98, 1, 11.5, -37.5, 477.7, 0.036, -0.006, -0.007
88, 0, 2.900, 0.98, 1, 11.5, -37.4, 478.5, 0.033, -0.017, -0.008
89, 0, 2.933, 0.98, 1, 12.3, -37.2, 475.1, 0.035, -0.017, -0.001
90, 0, 2.967, 0.98, 1, 13.3, -37.8, 485.3, 0.027, -0.026, 0.004
91, 0, 3.000, 0.98, 1, 13.4, -37.8, 486.0, 0.025, -0.027, 0.003
92, 0, 3.033, 0.98, 1, 14.0, -37.1, 481.4, 0.025, -0.034, 0.008
93, 0, 3.067, 0.98, 1, 14.4, -36.8, 477.7, 0.029, -0.029, 0.012
94, 0, 3.100, 0.98, 1, 14.6, -36.5, 474.4, 0.027, -0.019, 0.012
95, 0, 3.133, 0.98, 1, 14.5, -36.6, 475.0, 0.021, -0.007, 0.014
96, 0, 3.167, 0.98, 1, 14.7, -36.7, 473.7, 0.027, -0.001, 0.019
