1.5500000000e+03,0.0000000000e+00
1.5500000000e+03,0.0000000000e+00
1.5500000000e+03,0.0000000000e+00
1.5500000000e+03,0.0000000000e+00
1.5500000000e+03,0.0000000000e+00
1.5520000000e+03,0.0000000000e+00
1.5550000000e+03,0.0000000000e+00
1.5630000000e+03,0.0000000000e+00
1.5780000000e+03,0.0000000000e+00
1.6000000000e+03,3.3024827281e-01
1.6250000000e+03,9.0935896030e-01
1.6480000000e+03,8.8102187052e-01
1.6620000000e+03,7.9742073185e-01
1.6650000000e+03,7.2224688182e-01
1.6590000000e+03,6.5590319596e-01
1.6490000000e+03,5.8998526046e-01
1.6390000000e+03,5.2706791470e-01
1.6320000000e+03,4.9908810941e-01
1.6290000000e+03,9.3220894741e-01
1.6270000000e+03,8.6313778848e-01
1.6260000000e+03,7.8196537204e-01
1.6230000000e+03,7.0549034375e-01
1.6200000000e+03,6.4032875733e-01
1.6180000000e+03,5.9206987753e-01
1.6180000000e+03,5.4071947796e-01
1.6180000000e+03,8.9670512436e-01
1.6180000000e+03,8.3594937985e-01
1.6160000000e+03,7.5074122189e-01
1.6120000000e+03,6.9237116340e-01
1.6090000000e+03,6.2605424849e-01
1.6070000000e+03,6.0512680904e-01
1.6070000000e+03,9.3975574368e-01
1.6070000000e+03,8.5650092757e-01
1.6060000000e+03,7.8162883677e-01
1.6020000000e+03,7.0363205908e-01
1.5980000000e+03,6.3542861457e-01
1.5930000000e+03,5.7089444201e-01
1.5890000000e+03,5.6639151591e-01
1.5850000000e+03,5.4184710339e-01
1.5820000000e+03,4.9256866250e-01
1.5800000000e+03,4.5529087083e-01
1.5790000000e+03,4.1549961604e-01
1.5790000000e+03,4.1236456891e-01
1.5800000000e+03,9.1759776315e-01
1.5820000000e+03,8.3223514031e-01
1.5820000000e+03,7.5905759996e-01
1.5830000000e+03,6.9427318609e-01
1.5830000000e+03,6.2753049309e-01
1.5820000000e+03,5.6925109599e-01
1.5810000000e+03,6.6203447522e-01
1.5790000000e+03,6.0314570472e-01
1.5770000000e+03,5.4839508940e-01
1.5750000000e+03,4.9884254856e-01
1.5740000000e+03,4.5273430307e-01
1.5750000000e+03,7.7909327978e-01
1.5770000000e+03,7.7053752068e-01
1.5780000000e+03,6.9807782349e-01
1.5790000000e+03,6.3569551279e-01
1.5780000000e+03,5.7323083425e-01
1.5770000000e+03,5.1702247532e-01
1.5760000000e+03,5.5283787456e-01
1.5750000000e+03,5.3780927537e-01
1.5730000000e+03,4.8565203288e-01
1.5730000000e+03,4.4439002348e-01
1.5760000000e+03,4.0727396578e-01
1.5830000000e+03,3.8959148635e-01
1.5930000000e+03,9.1739019092e-01
1.6030000000e+03,8.5679038314e-01
1.6080000000e+03,7.8111561255e-01
1.6100000000e+03,7.1175322099e-01
1.6060000000e+03,6.4132766171e-01
1.6010000000e+03,5.8849591036e-01
1.5940000000e+03,5.6388812222e-01
1.5880000000e+03,5.5194835068e-01
1.5820000000e+03,5.0339689234e-01
1.5780000000e+03,4.7172353151e-01
1.5750000000e+03,4.3312106865e-01
1.5740000000e+03,3.9592855528e-01
1.5750000000e+03,8.1472426900e-01
1.5770000000e+03,7.7617758915e-01
1.5770000000e+03,6.9931430292e-01
1.5750000000e+03,6.4967652892e-01
1.5720000000e+03,5.8503577479e-01
1.5700000000e+03,5.2764698996e-01
1.5670000000e+03,4.7163037534e-01
1.5660000000e+03,4.5191282831e-01
1.5650000000e+03,4.9548486305e-01
1.5650000000e+03,4.6025339778e-01
1.5650000000e+03,4.2812069660e-01
1.5680000000e+03,3.8634857960e-01
1.5730000000e+03,3.5680487544e-01
1.5780000000e+03,6.0799957910e-01
1.5830000000e+03,7.4181429257e-01
1.5850000000e+03,6.7512795389e-01
1.5840000000e+03,6.1136278376e-01
1.5800000000e+03,5.5994953675e-01
1.5760000000e+03,5.0684774513e-01
1.5720000000e+03,4.6032465060e-01
1.5700000000e+03,4.1960563317e-01
1.5690000000e+03,4.8526702643e-01
1.5680000000e+03,4.9272338539e-01
