0.000000,0.000000,0.000000
0.003444,-0.007119,0.001468
0.006644,-0.009705,0.001865
0.008707,-0.009587,0.000779
0.008742,-0.008594,-0.002201
0.005858,-0.008555,-0.007489
-0.000569,-0.012798,-0.017609
-0.009957,-0.021050,-0.031930
-0.021426,-0.032136,-0.049032
-0.034093,-0.044883,-0.067495
-0.047076,-0.058116,-0.085897
-0.059493,-0.070661,-0.102820
-0.070463,-0.081344,-0.116841
-0.079105,-0.088992,-0.126541
-0.084535,-0.092429,-0.130499
-0.089700,-0.087537,-0.127749
-0.094549,-0.075163,-0.119031
-0.098280,-0.057400,-0.105510
-0.100093,-0.036339,-0.088351
-0.099185,-0.014071,-0.068720
-0.094757,0.007313,-0.047783
-0.086008,0.025721,-0.026704
-0.072135,0.039062,-0.006650
-0.052337,0.045244,0.011214
-0.033082,0.046612,0.021802
-0.016014,0.044504,0.025743
-0.001575,0.040005,0.025094
0.009794,0.034201,0.021913
0.017654,0.028179,0.018257
0.021561,0.023025,0.016186
0.021077,0.019825,0.017756
0.015759,0.019665,0.025026
0.005168,0.023631,0.040053
-0.006057,0.031896,0.057807
-0.016829,0.043467,0.076263
-0.026948,0.057062,0.094147
-0.036215,0.071394,0.110184
-0.044432,0.085180,0.123100
-0.051399,0.097135,0.131621
-0.056919,0.105976,0.134471
-0.060791,0.110418,0.130377
-0.062817,0.109177,0.118064
-0.066572,0.101429,0.099225
-0.072126,0.088512,0.075781
-0.078677,0.072299,0.049710
-0.085418,0.054668,0.022993
-0.091546,0.037493,-0.002392
-0.096257,0.022650,-0.024466
-0.098745,0.012015,-0.041250
-0.098207,0.007464,-0.050766
-0.093838,0.010872,-0.051034
-0.085558,0.012510,-0.046766
-0.074040,0.010381,-0.039668
-0.060146,0.004417,-0.030698
-0.044738,-0.005448,-0.020810
-0.028677,-0.019282,-0.010962
-0.012825,-0.037151,-0.002110
0.001956,-0.059121,0.004791
0.014804,-0.085260,0.008783
0.024858,-0.115635,0.008912
0.030402,-0.144763,0.007930
0.031819,-0.171117,0.006503
0.030020,-0.194161,0.004773
0.025913,-0.213357,0.002885
0.020408,-0.228170,0.000981
0.014412,-0.238061,-0.000796
0.008836,-0.242493,-0.002302
0.004588,-0.240930,-0.003395
0.002577,-0.232835,-0.003932
0.005010,-0.224019,-0.003977
0.011669,-0.215289,-0.003448
0.021729,-0.206203,-0.002226
0.034364,-0.196318,-0.000194
0.048750,-0.185192,0.002767
0.064063,-0.172381,0.006776
0.079477,-0.157443,0.011950
0.094167,-0.139936,0.018409
0.107310,-0.119416,0.026270
0.116592,-0.097716,0.032291
0.122021,-0.075637,0.036019
0.124184,-0.053724,0.037697
0.123666,-0.032524,0.037569
0.121053,-0.012580,0.035880
0.116932,0.005562,0.032873
0.111890,0.021358,0.028791
0.106513,0.034261,0.023880
0.101386,0.043727,0.018382
0.093180,0.054951,0.014556
0.081944,0.068102,0.012870
0.068571,0.082095,0.013343
0.053954,0.095847,0.015993
0.038987,0.108272,0.020840
0.024563,0.118285,0.027903
0.011576,0.124802,0.037201
0.000918,0.126737,0.048754
-0.006516,0.123005,0.062581
-0.009717,0.115919,0.074045
-0.008991,0.106283,0.082405
-0.004970,0.094526,0.087891
0.001712,0.081073,0.090732
0.010421,0.066352,0.091160
0.020523,0.050792,0.089405
0.031385,0.034818,0.085697
0.042374,0.018858,0.080268
0.052855,0.003341,0.073346
0.061410,-0.009097,0.066703
0.067941,-0.018305,0.060694
0.072686,-0.024754,0.055318
0.075878,-0.028915,0.050574
0.077754,-0.031260,0.046462
0.078548,-0.032261,0.042982
0.078495,-0.032388,0.040133
0.077831,-0.032113,0.037915
0.076791,-0.031907,0.036328
0.075721,-0.030138,0.034243
0.074538,-0.026838,0.031548
0.073056,-0.022453,0.028385
0.071087,-0.017430,0.024895
0.068443,-0.012216,0.021221
0.064937,-0.007259,0.017504
0.060381,-0.003004,0.013885
0.054587,0.000101,0.010507
0.047368,0.001608,0.007510
0.039148,0.003958,0.005182
0.030304,0.007328,0.003510
0.021198,0.011329,0.002406
0.012194,0.015574,0.001782
0.003656,0.019674,0.001553
-0.004054,0.023242,0.001630
-0.010570,0.025888,0.001926
-0.015531,0.027225,0.002355
-0.018572,0.026865,0.002827
-0.018914,0.024481,0.007112
-0.016549,0.020620,0.014951
-0.011667,0.016049,0.025078
-0.004454,0.011537,0.036228
0.004901,0.007849,0.047136
0.016211,0.005753,0.056537
0.029288,0.006016,0.063164
0.043945,0.009405,0.065753
0.059993,0.016686,0.063039
0.072357,0.017971,0.057735
0.080497,0.012300,0.050687
0.085009,0.000949,0.042270
0.086490,-0.014806,0.032861
0.085534,-0.033691,0.022836
0.082738,-0.054431,0.012570
0.078697,-0.075750,0.002442
0.074007,-0.096373,-0.007174
0.069265,-0.115026,-0.015901
0.064381,-0.129459,-0.026447
0.059265,-0.139759,-0.038859
0.053824,-0.146592,-0.052522
0.047963,-0.150628,-0.066817
0.041589,-0.152533,-0.081129
0.034609,-0.152978,-0.094840
0.026931,-0.152629,-0.107334
0.018459,-0.152154,-0.117993
0.009102,-0.152223,-0.126201
0.002221,-0.152485,-0.134260
-0.001907,-0.152353,-0.142583
-0.003775,-0.151179,-0.151111
-0.003877,-0.148315,-0.159785
-0.002704,-0.143112,-0.168545
-0.000750,-0.134923,-0.177332
0.001491,-0.123100,-0.186087
0.003527,-0.106995,-0.194750
0.004864,-0.085960,-0.203262
0.005437,-0.068118,-0.207522
0.005167,-0.054407,-0.207264
0.003971,-0.043969,-0.203180
0.001767,-0.035946,-0.195961
-0.001526,-0.029479,-0.186300
-0.005991,-0.023711,-0.174888
-0.011710,-0.017783,-0.162419
-0.018766,-0.010838,-0.149583
-0.027240,-0.002016,-0.137074
-0.032879,0.007438,-0.118106
-0.035347,0.017152,-0.092450
-0.035284,0.026972,-0.061517
-0.033333,0.036746,-0.026718
-0.030134,0.046320,0.010539
-0.026331,0.055540,0.048841
-0.022563,0.064252,0.086780
-0.019474,0.072304,0.122944
-0.017705,0.079542,0.155923
-0.013513,0.085256,0.181995
-0.006687,0.089279,0.200896
0.002100,0.091583,0.213225
0.012175,0.092138,0.219584
0.022868,0.090914,0.220572
0.033505,0.087883,0.216789
0.043415,0.083015,0.208838
0.051925,0.076280,0.197316
0.058363,0.067648,0.182826
0.063166,0.056925,0.169829
0.066215,0.045019,0.158604
0.067252,0.033119,0.148382
0.066020,0.022411,0.138393
0.062260,0.014082,0.127870
0.055715,0.009321,0.116042
