0.000000,0.000000,0.000000
-0.002325,0.011597,-0.002073
-0.003835,0.017002,-0.004885
-0.004680,0.018194,-0.007954
-0.005011,0.017152,-0.010798
-0.004976,0.015853,-0.012937
-0.004792,0.015416,-0.014876
-0.004503,0.015878,-0.016703
-0.004112,0.017004,-0.018402
-0.003624,0.018561,-0.019958
-0.003039,0.020314,-0.021353
-0.002363,0.022031,-0.022570
-0.001596,0.023477,-0.023595
-0.000743,0.024418,-0.024411
0.000194,0.024622,-0.025000
0.001175,0.024353,-0.025018
0.002168,0.023729,-0.024504
0.003142,0.022829,-0.023592
0.004068,0.021730,-0.022419
0.004917,0.020511,-0.021118
0.005658,0.019252,-0.019826
0.006260,0.018030,-0.018677
0.006695,0.016924,-0.017806
0.006933,0.016012,-0.017348
0.006754,0.015353,-0.017565
0.006196,0.014985,-0.018317
0.005354,0.014941,-0.019371
0.004328,0.015258,-0.020489
0.003215,0.015968,-0.021436
0.002113,0.017105,-0.021976
0.001120,0.018706,-0.021873
0.000333,0.020802,-0.020891
-0.000148,0.023430,-0.018794
-0.000191,0.026044,-0.016792
0.000157,0.028454,-0.015104
0.000800,0.030558,-0.013704
0.001644,0.032254,-0.012565
0.002594,0.033438,-0.011657
0.003557,0.034009,-0.010954
0.004437,0.033865,-0.010429
0.005140,0.032903,-0.010054
0.005572,0.031020,-0.009802
0.006502,0.028691,-0.009942
0.007962,0.026122,-0.010436
0.009803,0.023457,-0.011169
0.011872,0.020836,-0.012026
0.014020,0.018401,-0.012891
0.016094,0.016295,-0.013649
0.017945,0.014658,-0.014185
0.019420,0.013633,-0.014384
0.020370,0.013362,-0.014131
0.020387,0.013881,-0.013585
0.019564,0.014993,-0.012840
0.018115,0.016437,-0.011975
0.016254,0.017953,-0.011068
0.014196,0.019283,-0.010196
0.012156,0.020166,-0.009438
0.010349,0.020343,-0.008870
0.008988,0.019554,-0.008571
0.008289,0.017541,-0.008619
0.007880,0.016416,-0.008642
0.007656,0.016339,-0.008589
0.007583,0.016982,-0.008490
0.007625,0.018016,-0.008376
0.007745,0.019112,-0.008276
0.007907,0.019942,-0.008221
0.008076,0.020175,-0.008239
0.008215,0.019485,-0.008362
0.008289,0.017541,-0.008619
0.008862,0.015780,-0.009172
0.009941,0.014453,-0.009974
0.011390,0.013513,-0.010924
0.013076,0.012912,-0.011923
0.014865,0.012604,-0.012869
0.016623,0.012542,-0.013663
0.018216,0.012679,-0.014205
0.019509,0.012967,-0.014394
0.020370,0.013362,-0.014131
0.020529,0.013837,-0.014248
0.020013,0.014390,-0.014825
0.018920,0.015020,-0.015750
0.017350,0.015728,-0.016913
0.015401,0.016513,-0.018202
0.013172,0.017376,-0.019507
0.010763,0.018317,-0.020716
0.008273,0.019336,-0.021719
0.005800,0.020433,-0.022405
0.003567,0.021024,-0.022096
0.001619,0.021082,-0.020881
-0.000047,0.020716,-0.019039
-0.001431,0.020034,-0.016849
-0.002533,0.019147,-0.014589
-0.003357,0.018164,-0.012539
-0.003902,0.017195,-0.010977
-0.004169,0.016349,-0.010184
-0.004161,0.015736,-0.010437
-0.003908,0.015302,-0.011556
-0.003465,0.015076,-0.013279
-0.002894,0.015107,-0.015327
-0.002254,0.015444,-0.017422
-0.001606,0.016135,-0.019282
-0.001011,0.017231,-0.020629
-0.000529,0.018779,-0.021183
-0.000221,0.020829,-0.020665
-0.000148,0.023430,-0.018794
-0.000358,0.025652,-0.016142
-0.000826,0.027350,-0.013023
-0.001505,0.028577,-0.009684
-0.002350,0.029385,-0.006373
-0.003315,0.029825,-0.003341
-0.004355,0.029949,-0.000834
-0.005424,0.029810,0.000898
-0.006475,0.029460,0.001607
-0.007465,0.028949,0.001044
-0.008019,0.027983,0.000122
-0.008133,0.026601,-0.000954
