0.000000,0.000000,0.000000
0.006541,-0.003091,-0.001109
0.008469,-0.005898,-0.002868
0.007253,-0.008242,-0.004867
0.004364,-0.009944,-0.006695
0.001272,-0.010826,-0.007944
-0.001399,-0.011753,-0.009128
-0.003550,-0.012762,-0.010290
-0.005212,-0.013682,-0.011355
-0.006414,-0.014340,-0.012247
-0.007187,-0.014564,-0.012890
-0.007562,-0.014182,-0.013208
-0.007568,-0.013022,-0.013126
-0.007237,-0.010913,-0.012566
-0.006600,-0.007682,-0.011455
-0.005741,-0.005458,-0.010285
-0.004717,-0.004445,-0.009153
-0.003575,-0.004371,-0.008056
-0.002364,-0.004961,-0.006992
-0.001132,-0.005941,-0.005958
0.000075,-0.007037,-0.004950
0.001207,-0.007974,-0.003966
0.002218,-0.008479,-0.003003
0.003058,-0.008277,-0.002058
0.003144,-0.007599,-0.000809
0.002516,-0.006540,0.000694
0.001371,-0.005160,0.002309
-0.000093,-0.003521,0.003895
-0.001679,-0.001682,0.005308
-0.003192,0.000295,0.006406
-0.004432,0.002349,0.007048
-0.005204,0.004420,0.007091
-0.005311,0.006446,0.006393
-0.004719,0.006836,0.006202
-0.003552,0.005607,0.006618
-0.001971,0.003174,0.007458
-0.000138,-0.000044,0.008534
0.001786,-0.003629,0.009663
0.003639,-0.007165,0.010660
0.005259,-0.010233,0.011338
0.006485,-0.012417,0.011514
0.007155,-0.013298,0.011001
0.007273,-0.013645,0.009812
0.006942,-0.013653,0.008103
0.006294,-0.013368,0.006071
0.005460,-0.012842,0.003908
0.004569,-0.012121,0.001809
0.003753,-0.011255,-0.000031
0.003142,-0.010293,-0.001419
0.002867,-0.009284,-0.002159
0.003058,-0.008277,-0.002058
0.003178,-0.007695,-0.002330
0.003116,-0.007541,-0.003110
0.002870,-0.007713,-0.004259
0.002438,-0.008109,-0.005643
0.001815,-0.008628,-0.007122
0.001000,-0.009168,-0.008562
-0.000010,-0.009626,-0.009825
-0.001218,-0.009901,-0.010774
-0.002627,-0.009891,-0.011273
-0.003569,-0.009775,-0.011332
-0.003968,-0.009650,-0.010994
-0.003899,-0.009596,-0.010306
-0.003437,-0.009690,-0.009318
-0.002657,-0.010009,-0.008078
-0.001632,-0.010633,-0.006635
-0.000437,-0.011638,-0.005038
0.000854,-0.013104,-0.003335
0.002165,-0.015108,-0.001576
0.003503,-0.016592,0.000139
0.004860,-0.017209,0.001831
0.006224,-0.016789,0.003550
0.007585,-0.015164,0.005350
0.008929,-0.012164,0.007280
0.010247,-0.007618,0.009394
0.011525,-0.001359,0.011742
0.012754,0.006783,0.014377
0.013920,0.016979,0.017349
0.016019,0.026378,0.019945
0.019057,0.034437,0.022028
0.022798,0.041188,0.023610
0.027002,0.046662,0.024700
0.031432,0.050893,0.025310
0.035848,0.053912,0.025449
0.040013,0.055750,0.025128
0.043689,0.056442,0.024358
0.046637,0.056017,0.023148
0.049284,0.054679,0.022368
0.051695,0.052661,0.022050
0.053852,0.050207,0.022016
0.055730,0.047558,0.022088
0.057310,0.044956,0.022091
0.058570,0.042645,0.021846
0.059487,0.040867,0.021176
0.060040,0.039863,0.019904
0.060209,0.039877,0.017853
0.060208,0.040289,0.015493
0.060097,0.040901,0.013009
0.059898,0.041618,0.010515
0.059632,0.042345,0.008124
0.059321,0.042988,0.005949
0.058984,0.043451,0.004104
0.058645,0.043641,0.002702
0.058323,0.043463,0.001856
0.058041,0.042821,0.001680
0.057512,0.041444,0.001043
0.056767,0.039413,-0.000135
0.055916,0.036901,-0.001675
0.055066,0.034078,-0.003398
0.054329,0.031116,-0.005122
0.053811,0.028185,-0.006669
0.053624,0.025458,-0.007857
0.053875,0.023105,-0.008508
0.054675,0.021298,-0.008440
0.055593,0.020333,-0.008528
0.056515,0.020080,-0.008872
0.057403,0.020303,-0.009380
0.058219,0.020765,-0.009962
0.058926,0.021229,-0.010525
0.059487,0.021460,-0.010977
0.059863,0.021219,-0.011229
0.060019,0.020271,-0.011186
0.059916,0.018379,-0.010759
0.059859,0.017323,-0.010523
0.059885,0.017222,-0.010530
0.059966,0.017779,-0.010701
0.060070,0.018700,-0.010957
0.060169,0.019687,-0.011219
0.060233,0.020444,-0.011410
0.060232,0.020676,-0.011449
0.060136,0.020087,-0.011259
0.059916,0.018379,-0.010759
0.059733,0.016645,-0.010030
0.059604,0.015091,-0.009131
0.059505,0.013700,-0.008116
0.059414,0.012455,-0.007040
0.059308,0.011341,-0.005958
0.059164,0.010342,-0.004924
0.058960,0.009441,-0.003994
0.058673,0.008622,-0.003221
0.058281,0.007869,-0.002661
0.057680,0.007738,-0.002369
0.056876,0.007989,-0.002321
0.055903,0.008179,-0.002471
0.054794,0.007868,-0.002777
0.053581,0.006612,-0.003192
0.052299,0.003972,-0.003672
0.050980,-0.000494,-0.004172
0.049657,-0.007229,-0.004648
0.048364,-0.016672,-0.005055
0.046769,-0.026195,-0.005661
